"date","term","rate"
2021 Apr,12,0.135559245991628
2021 May,12,0.14
2021 Jun,12,0.14
2021 Jul,12,0.14
2021 Aug,12,0.14
2021 Sep,12,0.14
2021 Oct,12,0.14
2021 Nov,12,0.14
2021 Dec,12,0.13
2022 Jan,12,0.13
2022 Feb,12,0.14
2022 Mar,12,0.15
2022 Apr,12,0.17
2022 May,12,0.21
2022 Jun,12,0.25
2022 Jul,12,0.31
2022 Aug,12,0.46
2022 Sep,12,0.6
2022 Oct,12,0.71
2022 Nov,12,0.9
2022 Dec,12,1.07
2023 Jan,12,1.28
2023 Feb,12,1.36
2023 Mar,12,1.49
2023 Apr,12,1.54
2023 May,12,1.59
2023 Jun,12,1.63
2023 Jul,12,1.72
2023 Aug,12,1.76
2023 Sep,12,1.76
2023 Oct,12,1.79
2023 Nov,12,1.85
2023 Dec,12,1.86
2024 Jan,12,1.86
2024 Feb,12,1.83
2024 Mar,12,1.81
2024 Apr,12,1.81
2024 May,12,1.8
2024 Jun,12,1.86
2024 Jul,12,1.85
2024 Aug,12,1.85
2024 Sep,12,1.88
2024 Oct,12,1.81
2024 Nov,12,1.84
2024 Dec,12,1.83
2025 Jan,12,1.82
2025 Feb,12,1.8
2025 Mar,12,1.78
2025 Apr,12,1.77
2025 May,12,1.75
2025 Jun,12,1.62
2025 Jul,12,1.63
2025 Aug,12,1.76
2025 Sep,12,1.7
2025 Oct,12,1.68
2025 Nov,12,1.64
2025 Dec,12,1.63
2026 Jan,12,1.61
2026 Feb,12,1.55
2026 Mar,12,1.52
2026 Apr,12,1.53
2026 May,12,1.55
2026 Jun,12,1.65
